Hash,Refatoração,Descrição
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	abstract in class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,REMOVE_CLASS_MODIFIER, Remove Class Modifier Remove Class Modifier	final in class com.google.inject.multibindings.OptionalBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	impl1 : RealOptionalBinder.Actual to impl1 : OptionalBinder.Actual in method public testCompareEqualsAgainstOtherAnnotation() : void from class com.google.inject.multibindings.OptionalBinderTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	other1 : RealOptionalBinder.Actual to other1 : OptionalBinder.Actual in method public testCompareEqualsAgainstOtherAnnotation() : void from class com.google.inject.multibindings.OptionalBinderTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	impl2 : RealOptionalBinder.Default to impl2 : OptionalBinder.Default in method public testCompareEqualsAgainstOtherAnnotation() : void from class com.google.inject.multibindings.OptionalBinderTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	other2 : RealOptionalBinder.Default to other2 : OptionalBinder.Default in method public testCompareEqualsAgainstOtherAnnotation() : void from class com.google.inject.multibindings.OptionalBinderTest
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	type : RealOptionalBinder.Source to type : Source in method private isSourceEntry(b Binding  type Source) : boolean from class com.google.inject.multibindings.SpiUtils
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	public to package in class com.google.inject.multibindings.MapBinder.RealMapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class com.google.inject.multibindings.MapBinder.RealMapBinder
a5dbde28c60e2c9f9e5bedfa4a966505bcc5243b,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	entrySetBinder : RealMultibinder<Map.Entry<K Provider<V>>> to entrySetBinder : Multibinder<Map.Entry<K Provider<V>>> in method private RealMapBinder(binder Binder  keyType TypeLiteral<K>  valueType TypeLiteral<V>  mapKey Key<Map<K V>>  entrySetBinder Multibinder<Map.Entry<K Provider<V>>>) from class com.google.inject.multibindings.MapBinder.RealMapBinder
