Hash,Refatoração,Descrição
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package getExpectedJson() : String from class com.google.gson.ParameterizedTypesTests.MyParameterizedType
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,EXTRACT_VARIABLE, Extract Variable Extract Variable	typeInfo : TypeInfo in method public deserialize(json JsonElement  typeOfT Type  context JsonDeserializationContext) : MyParameterizedType<T> from class com.google.gson.ParameterizedTypesTests.MyParameterizedTypeAdapter
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,EXTRACT_VARIABLE, Extract Variable Extract Variable	json : String in method public testSerializeParameterizedTypeWithCustomSerializer() : void from class com.google.gson.ParameterizedTypesTests
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	intTarget : MyParameterizedType<Long> to intTarget : MyParameterizedType<Integer> in method public testDeserializeParameterizedTypesWithCustomDeserializer() : void from class com.google.gson.ParameterizedTypesTests
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to package in method package isCollectionOrArray(typeInfo TypeInfo) : boolean from class com.google.gson.TypeUtils
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,MOVE_OPERATION, Move Method Move Method	private isCollectionOrArray(typeInfo TypeInfo) : boolean from class com.google.gson.ObjectNavigator to package isCollectionOrArray(typeInfo TypeInfo) : boolean from class com.google.gson.TypeUtils
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,EXTRACT_AND_MOVE_OPERATION, Extract And Move Method Extract And Move Method	public getExpectedJson(obj MyParameterizedType<T>) : String extracted from public getExpectedJson() : String in class com.google.gson.ParameterizedTypesTests.MyParameterizedType & moved to class com.google.gson.ParameterizedTypesTests.MyParameterizedTypeAdapter
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitObjectField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.ObjectNavigator.Visitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitCollectionField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.ObjectNavigator.Visitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitArrayField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.ObjectNavigator.Visitor
f265d2c211f51455d6a78bcbec2a5d5bfd0a6c3f,ADD_PARAMETER, Add Parameter Add Parameter	typeOfF : Type in method public visitPrimitiveField(f Field  typeOfF Type  obj Object) : void from class com.google.gson.ObjectNavigator.Visitor
2339c480665639b35504126b2955c1380b99148f,ADD_PARAMETER, Add Parameter Add Parameter	formatter : JsonFormatter in method package Gson(factory ObjectNavigatorFactory  objectConstructor MappedObjectConstructor  typeAdapter TypeAdapter  formatter JsonFormatter) from class com.google.gson.Gson
63bc8304664ddeeecf277606de36b5b824de50a2,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@SuppressWarnings("unchecked") in method public toJson(src Object  typeOfSrc Type  writer JsonWriter) : void from class com.google.gson.Gson
63bc8304664ddeeecf277606de36b5b824de50a2,REMOVE_VARIABLE_ANNOTATION, Remove Variable Annotation Remove Variable Annotation	@SuppressWarnings("unchecked") in variable result : TypeAdapter<T> in method public create(context MiniGson  typeToken TypeToken<T>) : TypeAdapter<T> from class com.google.gson.internal.bind.ArrayTypeAdapter.FACTORY.new Factory
63bc8304664ddeeecf277606de36b5b824de50a2,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@SuppressWarnings("unchecked") in method public peek() : JsonToken from class com.google.gson.internal.bind.JsonElementReader
63bc8304664ddeeecf277606de36b5b824de50a2,ADD_METHOD_ANNOTATION, Add Method Annotation Add Method Annotation	@SuppressWarnings("unchecked") in method public nextName() : String from class com.google.gson.internal.bind.JsonElementReader
63bc8304664ddeeecf277606de36b5b824de50a2,ADD_ATTRIBUTE_ANNOTATION, Add Attribute Annotation Add Attribute Annotation	@SuppressWarnings("unused") in attribute package d : int from class com.google.gson.functional.VersioningTest.Version1_2
5e1005ea27cdaeb2c328983521f99e6c1e177524,ADD_PARAMETER, Add Parameter Add Parameter	allowNullValue : boolean in method package Node(allowNullValue boolean) from class com.google.gson.internal.LinkedTreeMap.Node
5e1005ea27cdaeb2c328983521f99e6c1e177524,ADD_PARAMETER, Add Parameter Add Parameter	allowNullValue : boolean in method package Node(allowNullValue boolean  parent Node<K V>  key K  next Node<K V>  prev Node<K V>) from class com.google.gson.internal.LinkedTreeMap.Node
5e1005ea27cdaeb2c328983521f99e6c1e177524,CHANGE_ATTRIBUTE_ACCESS_MODIFIER, Change Attribute Access Modifier Change Attribute Access Modifier	package to private in attribute private comparator : Comparator<? super K> from class com.google.gson.internal.LinkedTreeMap
5e1005ea27cdaeb2c328983521f99e6c1e177524,ADD_ATTRIBUTE_MODIFIER, Add Attribute Modifier Add Attribute Modifier	final in attribute private comparator : Comparator<? super K> from class com.google.gson.internal.LinkedTreeMap
5e1005ea27cdaeb2c328983521f99e6c1e177524,ADD_PARAMETER, Add Parameter Add Parameter	allowNullValues : boolean in method public LinkedTreeMap(comparator Comparator<? super K>  allowNullValues boolean) from class com.google.gson.internal.LinkedTreeMap
f5cbaedc5de4faec01e34d443bc83299730052b7,INLINE_OPERATION, Inline Method Inline Method	public addRequestParam(paramName String  type Type) : Builder inlined to public addRequestParam(param TypedKey<T>) : Builder in class com.google.gson.webservice.definition.WebServiceCallSpec.Builder
