Hash,Refatoração,Descrição
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	properties : Properties to properties : Map<String String> in class com.alibaba.otter.canal.client.adapter.support.OuterAdapterConfig
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_RETURN_TYPE, Change Return Type Change Return Type	Properties to Map<String String> in method public getProperties() : Map<String String> from class com.alibaba.otter.canal.client.adapter.support.OuterAdapterConfig
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	properties : Properties to properties : Map<String String> in method public setProperties(properties Map<String String>) : void from class com.alibaba.otter.canal.client.adapter.support.OuterAdapterConfig
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	configuration : CanalOuterAdapterConfiguration to configuration : OuterAdapterConfig in method public init(configuration OuterAdapterConfig) : void from class com.alibaba.otter.canal.client.adapter.OuterAdapter
0a7251add08f927f76bc5170258c0662a9c38c82,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	configuration : CanalOuterAdapterConfiguration to configuration : OuterAdapterConfig in method public init(configuration OuterAdapterConfig) : void from class com.alibaba.otter.canal.client.adapter.hbase.HbaseAdapter
bbb4c4347eaa9d0a56c55bad2fd50e9ef64dc1fa,MOVE_SOURCE_FOLDER, Move Source Folder Move Source Folder	client-adapter/adapter-launcher to client-adapter/launcher
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	private to public in class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package dest(dest String) : Builder from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package type(type CanalPacket.PacketType) : Builder from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package amount(amount int) : Builder from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package errorCode(errorCode int) : Builder from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
c7fc149e7ece2572b2597166190fe164f8604466,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	public to package in method package build() : ClientRequestResult from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult.Builder
c7fc149e7ece2572b2597166190fe164f8604466,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private dest : String from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult
c7fc149e7ece2572b2597166190fe164f8604466,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private type : CanalPacket.PacketType from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult
c7fc149e7ece2572b2597166190fe164f8604466,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private amount : int from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult
c7fc149e7ece2572b2597166190fe164f8604466,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private errorCode : int from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator.ClientRequestResult
c7fc149e7ece2572b2597166190fe164f8604466,REMOVE_THROWN_EXCEPTION_TYPE, Remove Thrown Exception Type Remove Thrown Exception Type	Exception in method public operationComplete(future ChannelFuture) : void from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator
c7fc149e7ece2572b2597166190fe164f8604466,ADD_PARAMETER, Add Parameter Add Parameter	request : GeneratedMessage in method public ChannelFutureAggregator(dest String  request GeneratedMessage  type CanalPacket.PacketType  amount int  latency long) from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator
c7fc149e7ece2572b2597166190fe164f8604466,ADD_PARAMETER, Add Parameter Add Parameter	latency : long in method public ChannelFutureAggregator(dest String  request GeneratedMessage  type CanalPacket.PacketType  amount int  latency long) from class com.alibaba.otter.canal.server.netty.listener.ChannelFutureAggregator
fbf249580f595e973f1548193de66c4f43af304d,ADD_ATTRIBUTE_MODIFIER, Add Attribute Modifier Add Attribute Modifier	final in attribute private tableDbConfigCache : Map<String MappingConfig> from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbMirrorDbSyncService
fbf249580f595e973f1548193de66c4f43af304d,REMOVE_ATTRIBUTE_MODIFIER, Remove Attribute Modifier Remove Attribute Modifier	static in attribute private tableDbConfigCache : Map<String MappingConfig> from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbMirrorDbSyncService
fbf249580f595e973f1548193de66c4f43af304d,EXTRACT_OPERATION, Extract Method Extract Method	private initMappingConfig(key String  baseConfigMap MappingConfig  dml Dml) : void extracted from public sync(dmls List<Dml>) : void in class com.alibaba.otter.canal.client.adapter.rdb.service.RdbMirrorDbSyncService
fbf249580f595e973f1548193de66c4f43af304d,PARAMETERIZE_VARIABLE, Parameterize Variable Parameterize Variable	configMap : MappingConfig to baseConfigMap : MappingConfig in method private initMappingConfig(key String  baseConfigMap MappingConfig  dml Dml) : void from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbMirrorDbSyncService
fbf249580f595e973f1548193de66c4f43af304d,ADD_PARAMETER, Add Parameter Add Parameter	columnsTypeCache : Map<String Map<String Integer>> in method public RdbMirrorDbSyncService(mirrorDbConfigCache Map<String MappingConfig>  dataSource DataSource  threads Integer  columnsTypeCache Map<String Map<String Integer>>) from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbMirrorDbSyncService
fbf249580f595e973f1548193de66c4f43af304d,MERGE_PARAMETER, Merge Parameter Merge Parameter	[sql : String  database : String] to ddl : Dml in method private executeDdl(ddl Dml) : void from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbMirrorDbSyncService
fbf249580f595e973f1548193de66c4f43af304d,CHANGE_CLASS_ACCESS_MODIFIER, Change Class Access Modifier Change Class Access Modifier	private to public in class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService.SyncItem
fbf249580f595e973f1548193de66c4f43af304d,ADD_CLASS_MODIFIER, Add Class Modifier Add Class Modifier	static in class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService.SyncItem
fbf249580f595e973f1548193de66c4f43af304d,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to public in method public SyncItem(config MappingConfig  singleDml SingleDml) from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService.SyncItem
fbf249580f595e973f1548193de66c4f43af304d,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private dmlsPartition : List<SyncItem>[] from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService
fbf249580f595e973f1548193de66c4f43af304d,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to public in method public sync(batchExecutor BatchExecutor  config MappingConfig  dml SingleDml) : void from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService
fbf249580f595e973f1548193de66c4f43af304d,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to public in method public pkHash(dbMapping DbMapping  d Map<String Object>) : int from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService
fbf249580f595e973f1548193de66c4f43af304d,CHANGE_OPERATION_ACCESS_MODIFIER, Change Method Access Modifier Change Method Access Modifier	private to public in method public pkHash(dbMapping DbMapping  d Map<String Object>  o Map<String Object>) : int from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService
fbf249580f595e973f1548193de66c4f43af304d,ADD_PARAMETER, Add Parameter Add Parameter	columnsTypeCache : Map<String Map<String Integer>> in method public RdbSyncService(dataSource DataSource  threads Integer  columnsTypeCache Map<String Map<String Integer>>) from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService
fbf249580f595e973f1548193de66c4f43af304d,REMOVE_PARAMETER, Remove Parameter Remove Parameter	mappingConfigCache : Map<String Map<String MappingConfig>> in method public RdbSyncService(mappingConfigCache Map<String Map<String MappingConfig>>  dataSource DataSource  threads Integer) from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService
fbf249580f595e973f1548193de66c4f43af304d,ADD_PARAMETER, Add Parameter Add Parameter	function : Function<Dml Boolean> in method public sync(dmls List<Dml>  function Function<Dml Boolean>) : void from class com.alibaba.otter.canal.client.adapter.rdb.service.RdbSyncService
ddfc2464f379a66663720294a341ba533f1c7d83,REMOVE_THROWN_EXCEPTION_TYPE, Remove Thrown Exception Type Remove Thrown Exception Type	Exception in method public unlock(key String) : void from class com.alibaba.otter.canal.adapter.launcher.common.EtlLock
547cbf82c83eb4987e9568569788818fe1e7a806,RENAME_METHOD, Rename Method Rename Method	public setMessage(message Message) : void renamed to public setEntry(entry CanalEntry.Entry) : void in class com.alibaba.otter.canal.protocol.FlatMessage
547cbf82c83eb4987e9568569788818fe1e7a806,CHANGE_PARAMETER_TYPE, Change Parameter Type Change Parameter Type	message : Message to entry : CanalEntry.Entry in method public setEntry(entry CanalEntry.Entry) : void from class com.alibaba.otter.canal.protocol.FlatMessage
547cbf82c83eb4987e9568569788818fe1e7a806,RENAME_PARAMETER, Rename Parameter Rename Parameter	message : Message to entry : CanalEntry.Entry in method public setEntry(entry CanalEntry.Entry) : void from class com.alibaba.otter.canal.protocol.FlatMessage
0f14ed926bc44f74f38e3e0b54d7dfa2d4c860ca,ENCAPSULATE_ATTRIBUTE, Encapsulate Attribute Encapsulate Attribute	private useDruidDdlFilter : boolean from class com.alibaba.otter.canal.parse.inbound.mysql.dbsync.LogEventConvert
b4845938693b2c947c764d10b2208c1823968bf4,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	message : Message to message : Object in method private process() : void from class com.alibaba.otter.canal.client.adapter.loader.CanalAdapterRocketMQWorker
b4845938693b2c947c764d10b2208c1823968bf4,REMOVE_VARIABLE_MODIFIER, Remove Variable Modifier Remove Variable Modifier	final in variable message : Message in method private process() : void from class com.alibaba.otter.canal.client.adapter.loader.CanalAdapterRocketMQWorker
b4845938693b2c947c764d10b2208c1823968bf4,ADD_PARAMETER, Add Parameter Add Parameter	flatMessage : boolean in method public CanalAdapterRocketMQWorker(nameServers String  topic String  groupId String  canalOuterAdapters List<List<CanalOuterAdapter>>  flatMessage boolean) from class com.alibaba.otter.canal.client.adapter.loader.CanalAdapterRocketMQWorker
b4845938693b2c947c764d10b2208c1823968bf4,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	messageBlockingQueue : BlockingQueue<ConsumerBatchMessage<Message>> to messageBlockingQueue : BlockingQueue<ConsumerBatchMessage> in class com.alibaba.otter.canal.client.rocketmq.RocketMQCanalConnector
b4845938693b2c947c764d10b2208c1823968bf4,CHANGE_ATTRIBUTE_TYPE, Change Attribute Type Change Attribute Type	messageCache : Map<Long ConsumerBatchMessage<Message>> to messageCache : Map<Long ConsumerBatchMessage> in class com.alibaba.otter.canal.client.rocketmq.RocketMQCanalConnector
b4845938693b2c947c764d10b2208c1823968bf4,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	messageList : BlockingQueue<Message> to messageList : BlockingQueue in method private process(messageExts List<MessageExt>) : boolean from class com.alibaba.otter.canal.client.rocketmq.RocketMQCanalConnector
b4845938693b2c947c764d10b2208c1823968bf4,CHANGE_VARIABLE_TYPE, Change Variable Type Change Variable Type	ex : InterruptedException to ex : Exception in method private process(messageExts List<MessageExt>) : boolean from class com.alibaba.otter.canal.client.rocketmq.RocketMQCanalConnector
