Hash,Refatoração,Descrição
ce79b07e6bfa5a41c92e7edd8be4739eb12bcc72,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method logPortConfigured(int  DomainNameMapping) at zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseServerStartup.java:293}	{Method logPortConfigured(int  AsyncMapping) at zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseServerStartup.java:293}) CHANGE_SIGNATURE({com.netflix.zuul.netty.server.BaseServerStartup logPortConfigured(int  DomainNameMapping)}  {com.netflix.zuul.netty.server.BaseServerStartup logPortConfigured(int  AsyncMapping)}),
88431f2a10f42f0cf90fd0c840119d7d0625dbe5,MOVE, MOVE	{Class MockHttpInboundFilter at zuul-core/src/test/java/com/netflix/zuul/FilterProcessorTest.java:199}	{Class MockHttpInboundFilter at zuul-core/src/test/java/com/netflix/zuul/message/http/MockHttpInboundFilter.java:7}) MOVE({com.netflix.zuul.FilterProcessorTest MockHttpInboundFilter}  {com.netflix.zuul.message.http.MockHttpInboundFilter}),
88431f2a10f42f0cf90fd0c840119d7d0625dbe5,MOVE, MOVE	{Class MockEndpointFilter at zuul-core/src/test/java/com/netflix/zuul/FilterProcessorTest.java:272}	{Class MockEndpointFilter at zuul-core/src/test/java/com/netflix/zuul/message/http/MockEndpointFilter.java:6}) MOVE({com.netflix.zuul.FilterProcessorTest MockEndpointFilter}  {com.netflix.zuul.message.http.MockEndpointFilter}),
88431f2a10f42f0cf90fd0c840119d7d0625dbe5,MOVE, MOVE	{Class MockHttpOutboundFilter at zuul-core/src/test/java/com/netflix/zuul/FilterProcessorTest.java:236}	{Class MockHttpOutboundFilter at zuul-core/src/test/java/com/netflix/zuul/message/http/MockHttpOutboundFilter.java:6}) MOVE({com.netflix.zuul.FilterProcessorTest MockHttpOutboundFilter}  {com.netflix.zuul.message.http.MockHttpOutboundFilter}),
220eb501a8953f1001dc431c0703034e2319e7d3,PULL_UP, PULL_UP	{Method parseCookies() at zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestMessage.java:47}	{Method parseCookies() at zuul-core/src/main/java/com/netflix/zuul/message/http/HttpRequestInfo.java:67}) PULL_UP({com.netflix.zuul.message.http.HttpRequestMessage parseCookies()}  {com.netflix.zuul.message.http.HttpRequestInfo parseCookies()}),
51ef8eea67520c7cb9a523c0207171caf2c82f63,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method writeClientRequestToOrigin(PooledConnection) at zuul-core/src/main/java/com/netflix/zuul/filters/endpoint/ProxyEndpoint.java:575}	{Method writeClientRequestToOrigin(PooledConnection  int) at zuul-core/src/main/java/com/netflix/zuul/filters/endpoint/ProxyEndpoint.java:572}) CHANGE_SIGNATURE({com.netflix.zuul.filters.endpoint.ProxyEndpoint writeClientRequestToOrigin(PooledConnection)}  {com.netflix.zuul.filters.endpoint.ProxyEndpoint writeClientRequestToOrigin(PooledConnection  int)}),
d977490cf7fd6038b3b3eddaea7377116be64c7b,RENAME, RENAME	{Method isGzipped(Headers) at zuul-core/src/main/java/com/netflix/zuul/util/HttpUtils.java:95}	{Method isCompressed(Headers) at zuul-core/src/main/java/com/netflix/zuul/util/HttpUtils.java:90}) RENAME({com.netflix.zuul.util.HttpUtils isGzipped(Headers)}  {com.netflix.zuul.util.HttpUtils isCompressed(Headers)}),
d977490cf7fd6038b3b3eddaea7377116be64c7b,INLINE, INLINE	{Method isGzipped(String) at zuul-core/src/main/java/com/netflix/zuul/util/HttpUtils.java:81}	{Method acceptsGzip(Headers) at zuul-core/src/main/java/com/netflix/zuul/util/HttpUtils.java:95}) INLINE({com.netflix.zuul.util.HttpUtils isGzipped(String)}  {com.netflix.zuul.util.HttpUtils acceptsGzip(Headers)}),
9a02a94be56b769713ff1e7485c493eed431a8e3,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addFilter(String  String  String  String  String) at zuul-core/src/main/java/com/netflix/zuul/scriptManager/ZuulFilterDAOCassandra.java:279}	{Method addFilter(String  FilterType  String  String  String) at zuul-core/src/main/java/com/netflix/zuul/scriptManager/ZuulFilterDAOCassandra.java:280}) CHANGE_SIGNATURE({com.netflix.zuul.scriptManager.ZuulFilterDAOCassandra addFilter(String  String  String  String  String)}  {com.netflix.zuul.scriptManager.ZuulFilterDAOCassandra addFilter(String  FilterType  String  String  String)}),
9a02a94be56b769713ff1e7485c493eed431a8e3,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildFilterID(String  String) at zuul-core/src/main/java/com/netflix/zuul/scriptManager/ZuulFilterDAOCassandra.java:320}	{Method buildFilterID(FilterType  String) at zuul-core/src/main/java/com/netflix/zuul/scriptManager/ZuulFilterDAOCassandra.java:321}) CHANGE_SIGNATURE({com.netflix.zuul.scriptManager.ZuulFilterDAOCassandra buildFilterID(String  String)}  {com.netflix.zuul.scriptManager.ZuulFilterDAOCassandra buildFilterID(FilterType  String)}),
