Hash,Refatoração,Descrição
407ffdc5feb42ca477c0d97e0467a219c87b7549,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method copyUnknownFiles(File  ZipOutputStream  Map  byte[]) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:590}	{Method copyUnknownFiles(File  ZipOutputStream  Map) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:594}) CHANGE_SIGNATURE({brut.androlib.Androlib copyUnknownFiles(File  ZipOutputStream  Map  byte[])}  {brut.androlib.Androlib copyUnknownFiles(File  ZipOutputStream  Map)}),
407ffdc5feb42ca477c0d97e0467a219c87b7549,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method calculateCrc(InputStream  byte[]) at brut.j.util/src/main/java/brut/util/BrutIO.java:65}	{Method calculateCrc(InputStream) at brut.j.util/src/main/java/brut/util/BrutIO.java:63}) CHANGE_SIGNATURE({brut.util.BrutIO calculateCrc(InputStream  byte[])}  {brut.util.BrutIO calculateCrc(InputStream)}),
407ffdc5feb42ca477c0d97e0467a219c87b7549,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method copyExistingFiles(ZipFile  ZipOutputStream  byte[]) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:572}	{Method copyExistingFiles(ZipFile  ZipOutputStream) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:572}) CHANGE_SIGNATURE({brut.androlib.Androlib copyExistingFiles(ZipFile  ZipOutputStream  byte[])}  {brut.androlib.Androlib copyExistingFiles(ZipFile  ZipOutputStream)}),
e1f3ab852a743c49a3f85fcd6e8081d4d31a647f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method generateValuesFile(ResValuesFile  Directory  XmlSerializer) at apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:251}	{Method generateValuesFile(ResValuesFile  Directory  ExtXmlSerializer) at apktool-lib/src/main/java/brut/androlib/res/AndrolibResources.java:251}) CHANGE_SIGNATURE({brut.androlib.res.AndrolibResources generateValuesFile(ResValuesFile  Directory  XmlSerializer)}  {brut.androlib.res.AndrolibResources generateValuesFile(ResValuesFile  Directory  ExtXmlSerializer)}),
e1f3ab852a743c49a3f85fcd6e8081d4d31a647f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(XmlPullParser  XmlSerializer) at apktool-lib/src/main/java/brut/androlib/res/decoder/XmlPullStreamDecoder.java:29}	{Method new(XmlPullParser  ExtXmlSerializer) at apktool-lib/src/main/java/brut/androlib/res/decoder/XmlPullStreamDecoder.java:29}) CHANGE_SIGNATURE({brut.androlib.res.decoder.XmlPullStreamDecoder new(XmlPullParser  XmlSerializer)}  {brut.androlib.res.decoder.XmlPullStreamDecoder new(XmlPullParser  ExtXmlSerializer)}),
52482802dc2b0ed51eb98671d414d431024c18a6,RENAME, RENAME	{Method needCheckPackagePrivateAccess() at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/analysis/ClassPath.java:167}	{Method shouldCheckPackagePrivateAccess() at brut.apktool.smali/dexlib2/src/main/java/org/jf/dexlib2/analysis/ClassPath.java:167}) RENAME({org.jf.dexlib2.analysis.ClassPath needCheckPackagePrivateAccess()}  {org.jf.dexlib2.analysis.ClassPath shouldCheckPackagePrivateAccess()}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method getVersion() at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:802}	{Method getVersion() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApktoolProperties.java:36}) MOVE({brut.androlib.Androlib getVersion()}  {brut.androlib.ApktoolProperties getVersion()}),
9c495cae295dbff3aab378da4a889d8b926f081a,INLINE, INLINE	{Method writeMetaFile(File  MetaInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:270}	{Method writeMetaFile(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:253}) INLINE({brut.androlib.Androlib writeMetaFile(File  MetaInfo)}  {brut.androlib.ApkDecoder writeMetaFile(File)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeManifestFull(ExtFile  File  ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:126}	{Method decodeManifestFull(ExtFile  File  ResTable) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:428}) MOVE({brut.androlib.Androlib decodeManifestFull(ExtFile  File  ResTable)}  {brut.androlib.ApkDecoder decodeManifestFull(ExtFile  File  ResTable)}),
9c495cae295dbff3aab378da4a889d8b926f081a,MOVE, MOVE	{Method decodeRawFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:151}	{Method decodeRawFiles(ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:453}) MOVE({brut.androlib.Androlib decodeRawFiles(ExtFile  File)}  {brut.androlib.ApkDecoder decodeRawFiles(ExtFile  File)}),
