Hash,Refatoração,Descrição
6c4167fba4db54ab7e9edf4712df6d41b7c3f5da,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method addConfig(ResConfig) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResPackage.java:165}	{Method addConfig(ResType) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResPackage.java:165}) CHANGE_SIGNATURE({brut.androlib.res.data.ResPackage addConfig(ResConfig)}  {brut.androlib.res.data.ResPackage addConfig(ResType)}),
6c4167fba4db54ab7e9edf4712df6d41b7c3f5da,MOVE, MOVE	{Method addResSpec(ResResSpec) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResType.java:60}	{Method addResSpec(ResResSpec) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTypeSpec.java:60}) MOVE({brut.androlib.res.data.ResType addResSpec(ResResSpec)}  {brut.androlib.res.data.ResTypeSpec addResSpec(ResResSpec)}),
6c4167fba4db54ab7e9edf4712df6d41b7c3f5da,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method hasResource(ResConfig) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:59}	{Method hasResource(ResType) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResResSpec.java:59}) CHANGE_SIGNATURE({brut.androlib.res.data.ResResSpec hasResource(ResConfig)}  {brut.androlib.res.data.ResResSpec hasResource(ResType)}),
6c4167fba4db54ab7e9edf4712df6d41b7c3f5da,MOVE, MOVE	{Method getResSpec(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResType.java:51}	{Method getResSpec(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTypeSpec.java:51}) MOVE({brut.androlib.res.data.ResType getResSpec(String)}  {brut.androlib.res.data.ResTypeSpec getResSpec(String)}),
6c4167fba4db54ab7e9edf4712df6d41b7c3f5da,MOVE, MOVE	{Method isString() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResType.java:43}	{Method isString() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResTypeSpec.java:43}) MOVE({brut.androlib.res.data.ResType isString()}  {brut.androlib.res.data.ResTypeSpec isString()}),
6c4167fba4db54ab7e9edf4712df6d41b7c3f5da,MOVE, MOVE	{Method listResources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResConfig.java:34}	{Method listResources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResType.java:34}) MOVE({brut.androlib.res.data.ResConfig listResources()}  {brut.androlib.res.data.ResType listResources()}),
1042a729586343043281ab8cc0e1e2fec786a17a,EXTRACT, EXTRACT	{Method hasMultipleNonPositionalSubstitutions(String) at apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlEncoders.java:136}	{Method findNonPositionalSubstitutions(String  int) at apktool-lib/src/main/java/brut/androlib/res/xml/ResXmlEncoders.java:160}) EXTRACT({brut.androlib.res.xml.ResXmlEncoders hasMultipleNonPositionalSubstitutions(String)}  {brut.androlib.res.xml.ResXmlEncoders findNonPositionalSubstitutions(String  int)}),
ba62238843f26496a876c9ef2b1e273a1ff8080b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(short  int  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/ARSCDecoder.java:506}	{Method new(short  int  int  int) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/ARSCDecoder.java:516}) CHANGE_SIGNATURE({brut.androlib.res.decoder.ARSCDecoder Header new(short  int  int)}  {brut.androlib.res.decoder.ARSCDecoder Header new(short  int  int  int)}),
ba62238843f26496a876c9ef2b1e273a1ff8080b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method read(ExtDataInput) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/ARSCDecoder.java:512}	{Method read(ExtDataInput  CountingInputStream) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/decoder/ARSCDecoder.java:524}) CHANGE_SIGNATURE({brut.androlib.res.decoder.ARSCDecoder Header read(ExtDataInput)}  {brut.androlib.res.decoder.ARSCDecoder Header read(ExtDataInput  CountingInputStream)}),
6361fa9725682102c0936d2b45390d34a88303a7,RENAME, RENAME	{Method cmdUpdateFramework(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:251}	{Method cmdEmptyFrameworkDirectory(CommandLine) at brut.apktool/apktool-cli/src/main/java/brut/apktool/Main.java:251}) RENAME({brut.apktool.Main cmdUpdateFramework(CommandLine)}  {brut.apktool.Main cmdEmptyFrameworkDirectory(CommandLine)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkFileName() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:64}	{Method testAssertingAllKnownApkInfoProperties() at brut.apktool/apktool-lib/src/test/java/brut/androlib/apk/ConsistentPropertyTest.java:26}) INLINE({brut.androlib.apk.ApkInfo getApkFileName()}  {brut.androlib.apk.ConsistentPropertyTest testAssertingAllKnownApkInfoProperties()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildManifest(ExtFile  UsesFramework) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:347}	{Method buildManifest() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:335}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildManifest(ExtFile  UsesFramework)}  {brut.androlib.ApkBuilder buildManifest()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,MOVE, MOVE	{Method hasSources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:197}	{Method hasSources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:92}) MOVE({brut.androlib.ApkDecoder hasSources()}  {brut.androlib.apk.ApkInfo hasSources()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,MOVE, MOVE	{Method hasMultipleSources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:205}	{Method hasMultipleSources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:103}) MOVE({brut.androlib.ApkDecoder hasMultipleSources()}  {brut.androlib.apk.ApkInfo hasMultipleSources()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildResources(ExtFile  UsesFramework) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:222}	{Method buildResources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:216}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildResources(ExtFile  UsesFramework)}  {brut.androlib.ApkBuilder buildResources()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method recordUncompressedFiles(ApkInfo  Map  List) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:373}	{Method recordUncompressedFiles(Map) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:326}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder recordUncompressedFiles(ApkInfo  Map  List)}  {brut.androlib.ApkDecoder recordUncompressedFiles(Map)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkFileName() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:64}	{Method build(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:79}) INLINE({brut.androlib.apk.ApkInfo getApkFileName()}  {brut.androlib.ApkBuilder build(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildCopyOriginalFiles(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:418}	{Method buildCopyOriginalFiles() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:404}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildCopyOriginalFiles(File)}  {brut.androlib.ApkBuilder buildCopyOriginalFiles()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method hasResources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:70}	{Method decodeManifest(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:74}) INLINE({brut.androlib.res.ResourcesDecoder hasResources()}  {brut.androlib.res.ResourcesDecoder decodeManifest(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildManifestRaw(ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:335}	{Method buildManifestRaw() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:324}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildManifestRaw(ExtFile)}  {brut.androlib.ApkBuilder buildManifestRaw()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildLibrary(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:399}	{Method buildLibrary(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:385}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildLibrary(File  String)}  {brut.androlib.ApkBuilder buildLibrary(String)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildNonDefaultSources(ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:153}	{Method buildNonDefaultSources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:150}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildNonDefaultSources(ExtFile)}  {brut.androlib.ApkBuilder buildNonDefaultSources()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkFileName() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:64}	{Method testHieroglyph() at brut.apktool/apktool-lib/src/test/java/brut/androlib/apk/DoNotCompressHieroglyphTest.java:26}) INLINE({brut.androlib.apk.ApkInfo getApkFileName()}  {brut.androlib.apk.DoNotCompressHieroglyphTest testHieroglyph()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildManifestFile(File  File  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:125}	{Method buildManifestFile(File  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:125}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildManifestFile(File  File  File)}  {brut.androlib.ApkBuilder buildManifestFile(File  File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildUnknownFiles(File  File  ApkInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:445}	{Method buildUnknownFiles(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:430}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildUnknownFiles(File  File  ApkInfo)}  {brut.androlib.ApkBuilder buildUnknownFiles(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildResourcesFull(File  UsesFramework) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:251}	{Method buildResourcesFull() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:242}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildResourcesFull(File  UsesFramework)}  {brut.androlib.ApkBuilder buildResourcesFull()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method decodeManifest(ResTable  ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:121}	{Method decodeManifest(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:74}) INLINE({brut.androlib.res.ResourcesDecoder decodeManifest(ResTable  ExtFile  File)}  {brut.androlib.res.ResourcesDecoder decodeManifest(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,MOVE, MOVE	{Method hasManifest() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:181}	{Method hasManifest() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:70}) MOVE({brut.androlib.ApkDecoder hasManifest()}  {brut.androlib.apk.ApkInfo hasManifest()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildApk(File  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:532}	{Method buildApk(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:516}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildApk(File  File)}  {brut.androlib.ApkBuilder buildApk(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildSourcesSmali(File  String  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:203}	{Method buildSourcesSmali(String  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:198}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildSourcesSmali(File  String  String)}  {brut.androlib.ApkBuilder buildSourcesSmali(String  String)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkFileName() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:64}	{Method testUlist_with_indent() at brut.apktool/apktool-lib/src/test/java/brut/androlib/apk/ApkInfoReaderTest.java:116}) INLINE({brut.androlib.apk.ApkInfo getApkFileName()}  {brut.androlib.apk.ApkInfoReaderTest testUlist_with_indent()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkInfo() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:86}	{Method decode(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:80}) INLINE({brut.androlib.res.ResourcesDecoder getApkInfo()}  {brut.androlib.ApkDecoder decode(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildSources(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:146}	{Method buildSources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:144}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildSources(File)}  {brut.androlib.ApkBuilder buildSources()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method hasResources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:70}	{Method decodeResources(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:145}) INLINE({brut.androlib.res.ResourcesDecoder hasResources()}  {brut.androlib.res.ResourcesDecoder decodeResources(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkFileName() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:64}	{Method checkStandard(ApkInfo) at brut.apktool/apktool-lib/src/test/java/brut/androlib/apk/ApkInfoReaderTest.java:26}) INLINE({brut.androlib.apk.ApkInfo getApkFileName()}  {brut.androlib.apk.ApkInfoReaderTest checkStandard(ApkInfo)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildResourcesRaw(ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:230}	{Method buildResourcesRaw() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:222}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildResourcesRaw(ExtFile)}  {brut.androlib.ApkBuilder buildResourcesRaw()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method hasManifest() at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:62}	{Method decodeManifest(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:74}) INLINE({brut.androlib.res.ResourcesDecoder hasManifest()}  {brut.androlib.res.ResourcesDecoder decodeManifest(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method writeApkInfo(ApkInfo  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:222}	{Method writeApkInfo(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:182}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder writeApkInfo(ApkInfo  File)}  {brut.androlib.ApkDecoder writeApkInfo(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(Config  ExtFile) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:54}	{Method new(Config  ExtFile  ApkInfo) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:51}) CHANGE_SIGNATURE({brut.androlib.res.ResourcesDecoder new(Config  ExtFile)}  {brut.androlib.res.ResourcesDecoder new(Config  ExtFile  ApkInfo)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method detectWhetherAppIsFramework(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:607}	{Method detectWhetherAppIsFramework() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:589}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder detectWhetherAppIsFramework(File)}  {brut.androlib.ApkBuilder detectWhetherAppIsFramework()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildSourcesRaw(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:184}	{Method buildSourcesRaw(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:180}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildSourcesRaw(File  String)}  {brut.androlib.ApkBuilder buildSourcesRaw(String)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,RENAME, RENAME	{Method parseUsesFramework(UsesFramework) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:561}	{Method getIncludeFiles() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:543}) RENAME({brut.androlib.ApkBuilder parseUsesFramework(UsesFramework)}  {brut.androlib.ApkBuilder getIncludeFiles()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method adjustPackageManifest(ResTable  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:146}	{Method adjustPackageManifest(String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:123}) CHANGE_SIGNATURE({brut.androlib.res.ResourcesDecoder adjustPackageManifest(ResTable  String)}  {brut.androlib.res.ResourcesDecoder adjustPackageManifest(String)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkFileName() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:64}	{Method testUnknownFiles() at brut.apktool/apktool-lib/src/test/java/brut/androlib/apk/ApkInfoReaderTest.java:83}) INLINE({brut.androlib.apk.ApkInfo getApkFileName()}  {brut.androlib.apk.ApkInfoReaderTest testUnknownFiles()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,MOVE, MOVE	{Method hasResources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:189}	{Method hasResources() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:81}) MOVE({brut.androlib.ApkDecoder hasResources()}  {brut.androlib.apk.ApkInfo hasResources()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method getApkFileName() at brut.apktool/apktool-lib/src/main/java/brut/androlib/apk/ApkInfo.java:64}	{Method check(ApkInfo) at brut.apktool/apktool-lib/src/test/java/brut/androlib/apk/ApkInfoSerializationTest.java:48}) INLINE({brut.androlib.apk.ApkInfo getApkFileName()}  {brut.androlib.apk.ApkInfoSerializationTest check(ApkInfo)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildLibs(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:392}	{Method buildLibs() at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:378}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder buildLibs(File)}  {brut.androlib.ApkBuilder buildLibs()}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method copyUnknownFiles(ApkInfo  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:314}	{Method copyUnknownFiles(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkDecoder.java:269}) CHANGE_SIGNATURE({brut.androlib.ApkDecoder copyUnknownFiles(ApkInfo  File)}  {brut.androlib.ApkDecoder copyUnknownFiles(File)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method copyUnknownFiles(File  ZipOutputStream  Map) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:492}	{Method copyUnknownFiles(ZipOutputStream  Map) at brut.apktool/apktool-lib/src/main/java/brut/androlib/ApkBuilder.java:476}) CHANGE_SIGNATURE({brut.androlib.ApkBuilder copyUnknownFiles(File  ZipOutputStream  Map)}  {brut.androlib.ApkBuilder copyUnknownFiles(ZipOutputStream  Map)}),
33ca2929c9bbf45e6d662c4a9f85693f48f9c2e5,INLINE, INLINE	{Method decodeResources(ResTable  ExtFile  File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:191}	{Method decodeResources(File) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/ResourcesDecoder.java:145}) INLINE({brut.androlib.res.ResourcesDecoder decodeResources(ResTable  ExtFile  File)}  {brut.androlib.res.ResourcesDecoder decodeResources(File)}),
cb5bad5555ba9b1ba9edc33fc43c3c0ce0807aea,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method installFramework(File  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:496}	{Method installFramework(File  String  String) at brut.apktool/apktool-lib/src/main/java/brut/androlib/Androlib.java:496}) CHANGE_SIGNATURE({brut.androlib.Androlib installFramework(File  String)}  {brut.androlib.Androlib installFramework(File  String  String)}),
3a5530e67ba7fb7e03cdb93751c5668e3aceffc2,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(short  short  char[]  char[]  short  byte  byte  short  byte  byte  byte  short  short  short  byte  byte  short  short  short  boolean) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResConfigFlags.java:81}	{Method new(short  short  char[]  char[]  short  byte  byte  int  byte  byte  byte  short  short  short  byte  byte  short  short  short  boolean) at brut.apktool/apktool-lib/src/main/java/brut/androlib/res/data/ResConfigFlags.java:81}) CHANGE_SIGNATURE({brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  short  byte  byte  short  byte  byte  byte  short  short  short  byte  byte  short  short  short  boolean)}  {brut.androlib.res.data.ResConfigFlags new(short  short  char[]  char[]  short  byte  byte  int  byte  byte  byte  short  short  short  byte  byte  short  short  short  boolean)}),
626d7e7ecd5d9cc5812ee724ac350c10bdf8419e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method lookupVirtualMethod(ClassPath.ClassDef  int) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Code/Analysis/DeodexUtil.java:78}	{Method lookupVirtualMethod(ClassPath.ClassDef  ClassPath.ClassDef  int) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Code/Analysis/DeodexUtil.java:79}) CHANGE_SIGNATURE({org.jf.dexlib.Code.Analysis.DeodexUtil lookupVirtualMethod(ClassPath.ClassDef  int)}  {org.jf.dexlib.Code.Analysis.DeodexUtil lookupVirtualMethod(ClassPath.ClassDef  ClassPath.ClassDef  int)}),
626d7e7ecd5d9cc5812ee724ac350c10bdf8419e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method parseAndResolveField(ClassPath.ClassDef  ClassPath.FieldDef) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Code/Analysis/DeodexUtil.java:217}	{Method parseAndResolveField(ClassPath.ClassDef  ClassPath.ClassDef  ClassPath.FieldDef) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Code/Analysis/DeodexUtil.java:232}) CHANGE_SIGNATURE({org.jf.dexlib.Code.Analysis.DeodexUtil parseAndResolveField(ClassPath.ClassDef  ClassPath.FieldDef)}  {org.jf.dexlib.Code.Analysis.DeodexUtil parseAndResolveField(ClassPath.ClassDef  ClassPath.ClassDef  ClassPath.FieldDef)}),
626d7e7ecd5d9cc5812ee724ac350c10bdf8419e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method parseAndResolveMethod(ClassPath.ClassDef  String  String  String) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Code/Analysis/DeodexUtil.java:106}	{Method parseAndResolveMethod(ClassPath.ClassDef  ClassPath.ClassDef  String  String  String) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Code/Analysis/DeodexUtil.java:108}) CHANGE_SIGNATURE({org.jf.dexlib.Code.Analysis.DeodexUtil parseAndResolveMethod(ClassPath.ClassDef  String  String  String)}  {org.jf.dexlib.Code.Analysis.DeodexUtil parseAndResolveMethod(ClassPath.ClassDef  ClassPath.ClassDef  String  String  String)}),
626d7e7ecd5d9cc5812ee724ac350c10bdf8419e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method utf8BytesToString(byte[]  int  int) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Util/Utf8Utils.java:73}	{Method utf8BytesToString(char[]  byte[]  int  int) at brut.apktool.smali/dexlib/src/main/java/org/jf/dexlib/Util/Utf8Utils.java:71}) CHANGE_SIGNATURE({org.jf.dexlib.Util.Utf8Utils utf8BytesToString(byte[]  int  int)}  {org.jf.dexlib.Util.Utf8Utils utf8BytesToString(char[]  byte[]  int  int)}),
