Hash,Refatoração,Descrição
2e45264fb89f009f7e31c9b36f6e39c1de5fb471,EXTRACT, EXTRACT	{Method inspectObject(Object  int) at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:490}	{Method newInspector() at core/src/test/java/com/taobao/arthas/core/model/ObjectRenderTest.java:615}) EXTRACT({com.taobao.arthas.core.model.ObjectRenderTest inspectObject(Object  int)}  {com.taobao.arthas.core.model.ObjectRenderTest newInspector()}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method onInvoke(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:124}	{Method onInvoke(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:91}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyTraceExcludeJDKInterceptor onInvoke(Object  Class  String)}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyTraceExcludeJDKInterceptor1 onInvoke(Object  Class  String)}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method onInvoke(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:144}	{Method onInvoke(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:46}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyTraceInterceptor onInvoke(Object  Class  String)}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyTraceInterceptor1 onInvoke(Object  Class  String)}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method onInvokeException(Object  Class  String  Throwable) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:136}	{Method onInvokeException(Object  Class  String  Throwable) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:107}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyTraceExcludeJDKInterceptor onInvokeException(Object  Class  String  Throwable)}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyTraceExcludeJDKInterceptor3 onInvokeException(Object  Class  String  Throwable)}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method onInvokeAfter(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:157}	{Method onInvokeAfter(Object  Class  String) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:61}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyTraceInterceptor onInvokeAfter(Object  Class  String)}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyTraceInterceptor2 onInvokeAfter(Object  Class  String)}),
5933d0b7a32a32ce2fccaa9a27d8e995545893c5,MOVE, MOVE	{Method atEnter(Object  Class  String  Object[]) at core/src/main/java/com/taobao/arthas/core/advisor/Enhancer.java:103}	{Method atEnter(Object  Class  String  Object[]) at core/src/main/java/com/taobao/arthas/core/advisor/SpyInterceptors.java:21}) MOVE({com.taobao.arthas.core.advisor.Enhancer SpyInterceptor atEnter(Object  Class  String  Object[])}  {com.taobao.arthas.core.advisor.SpyInterceptors SpyInterceptor1 atEnter(Object  Class  String  Object[])}),
6a584022a0e8241c1b4c5589490e28aee5e73203,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method drawPlayResult(TableElement  Object  boolean  int  int) at core/src/main/java/com/taobao/arthas/core/command/monitor200/TimeTunnelTable.java:181}	{Method drawPlayResult(TableElement  Object  boolean  int  int  double) at core/src/main/java/com/taobao/arthas/core/command/monitor200/TimeTunnelTable.java:181}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.monitor200.TimeTunnelTable drawPlayResult(TableElement  Object  boolean  int  int)}  {com.taobao.arthas.core.command.monitor200.TimeTunnelTable drawPlayResult(TableElement  Object  boolean  int  int  double)}),
c20e97d7def11743c3efb489ff48c0474bbe6dee,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(List  Tty  CommandLine) at core/src/main/java/com/taobao/arthas/core/shell/system/impl/ProcessImpl.java:390}	{Method new(Process  List  Tty  CommandLine) at core/src/main/java/com/taobao/arthas/core/shell/system/impl/ProcessImpl.java:392}) CHANGE_SIGNATURE({com.taobao.arthas.core.shell.system.impl.ProcessImpl CommandProcessImpl new(List  Tty  CommandLine)}  {com.taobao.arthas.core.shell.system.impl.ProcessImpl CommandProcessImpl new(Process  List  Tty  CommandLine)}),
c20e97d7def11743c3efb489ff48c0474bbe6dee,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method register(int  AdviceListener) at core/src/main/java/com/taobao/arthas/core/shell/system/impl/ProcessImpl.java:527}	{Method register(int  AdviceListener  ClassFileTransformer) at core/src/main/java/com/taobao/arthas/core/shell/system/impl/ProcessImpl.java:530}) CHANGE_SIGNATURE({com.taobao.arthas.core.shell.system.impl.ProcessImpl CommandProcessImpl register(int  AdviceListener)}  {com.taobao.arthas.core.shell.system.impl.ProcessImpl CommandProcessImpl register(int  AdviceListener  ClassFileTransformer)}),
c20e97d7def11743c3efb489ff48c0474bbe6dee,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method register(int  AdviceListener) at core/src/main/java/com/taobao/arthas/core/shell/command/CommandProcess.java:122}	{Method register(int  AdviceListener  ClassFileTransformer) at core/src/main/java/com/taobao/arthas/core/shell/command/CommandProcess.java:123}) CHANGE_SIGNATURE({com.taobao.arthas.core.shell.command.CommandProcess register(int  AdviceListener)}  {com.taobao.arthas.core.shell.command.CommandProcess register(int  AdviceListener  ClassFileTransformer)}),
bef66da5feaa361304a5d1fb3b773106e2a32c8a,RENAME, RENAME	{Class EnterInterceptor at bytekit/src/test/java/com/example/ByteKitDemo.java:48}	{Class SampleInterceptor at bytekit/src/test/java/com/example/ByteKitDemo.java:48}) RENAME({com.example.ByteKitDemo EnterInterceptor}  {com.example.ByteKitDemo SampleInterceptor}),
b73475fe08d6554628e7cb67ea85a44308c1385e,RENAME, RENAME	{Method process(Object  String  Object) at core/src/main/java/com/taobao/arthas/core/shell/term/impl/http/api/ObjectVOFilter.java:14}	{Method apply(Object  String  Object) at core/src/main/java/com/taobao/arthas/core/shell/term/impl/http/api/ObjectVOFilter.java:14}) RENAME({com.taobao.arthas.core.shell.term.impl.http.api.ObjectVOFilter process(Object  String  Object)}  {com.taobao.arthas.core.shell.term.impl.http.api.ObjectVOFilter apply(Object  String  Object)}),
551432da0aeaccc44bb9642f002d0e22adda8877,MOVE, MOVE	{Enum PlatformEnum at boot/src/main/java/com/taobao/arthas/boot/PlatformEnum.java:3}	{Enum PlatformEnum at common/src/main/java/com/taobao/arthas/common/PlatformEnum.java:3}) MOVE({com.taobao.arthas.boot.PlatformEnum}  {com.taobao.arthas.common.PlatformEnum}),
551432da0aeaccc44bb9642f002d0e22adda8877,MOVE, MOVE	{Class SocketUtils at boot/src/main/java/com/taobao/arthas/boot/SocketUtils.java:10}	{Class SocketUtils at common/src/main/java/com/taobao/arthas/common/SocketUtils.java:10}) MOVE({com.taobao.arthas.boot.SocketUtils}  {com.taobao.arthas.common.SocketUtils}),
551432da0aeaccc44bb9642f002d0e22adda8877,MOVE, MOVE	{Class AnsiLog at core/src/main/java/com/taobao/arthas/core/util/AnsiLog.java:4}	{Class AnsiLog at common/src/main/java/com/taobao/arthas/common/AnsiLog.java:4}) MOVE({com.taobao.arthas.core.util.AnsiLog}  {com.taobao.arthas.common.AnsiLog}),
551432da0aeaccc44bb9642f002d0e22adda8877,MOVE, MOVE	{Class OSUtils at boot/src/main/java/com/taobao/arthas/boot/OSUtils.java:3}	{Class OSUtils at common/src/main/java/com/taobao/arthas/common/OSUtils.java:3}) MOVE({com.taobao.arthas.boot.OSUtils}  {com.taobao.arthas.common.OSUtils}),
551432da0aeaccc44bb9642f002d0e22adda8877,MOVE, MOVE	{Class ExecutingCommand at boot/src/main/java/com/taobao/arthas/boot/ExecutingCommand.java:13}	{Class ExecutingCommand at common/src/main/java/com/taobao/arthas/common/ExecutingCommand.java:15}) MOVE({com.taobao.arthas.boot.ExecutingCommand}  {com.taobao.arthas.common.ExecutingCommand}),
be646f72a1404650a6f97b60a80bdeb6ac75b32b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method new(AgentInfo  String) at tunnel-server/src/main/java/com/alibaba/arthas/tunnel/server/AgentClusterInfo.java:24}	{Method new(AgentInfo  String  int) at tunnel-server/src/main/java/com/alibaba/arthas/tunnel/server/AgentClusterInfo.java:25}) CHANGE_SIGNATURE({com.alibaba.arthas.tunnel.server.AgentClusterInfo new(AgentInfo  String)}  {com.alibaba.arthas.tunnel.server.AgentClusterInfo new(AgentInfo  String  int)}),
b9ce500a9701fe8dee93286da650a9729156b59e,MOVE, MOVE	{Class LocalClientHandler at core/src/main/java/com/taobao/arthas/core/shell/term/impl/local/LocalTtyServerBootstrap.java:133}	{Class LocalClientHandler at core/src/main/java/com/taobao/arthas/core/channel/LocalWebsocketClient.java:82}) MOVE({com.taobao.arthas.core.shell.term.impl.local.LocalTtyServerBootstrap LocalClientHandler}  {com.taobao.arthas.core.channel.LocalWebsocketClient LocalClientHandler}),
8d88d2bff5dd0c73ef6fedad097c50c378fd8b3e,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method drawClassLoaders(CommandProcess  List  Boolean) at core/src/main/java/com/taobao/arthas/core/command/view/ClassLoaderView.java:60}	{Method drawClassLoaders(CommandProcess  Collection  boolean) at core/src/main/java/com/taobao/arthas/core/command/view/ClassLoaderView.java:61}) CHANGE_SIGNATURE({com.taobao.arthas.core.command.view.ClassLoaderView drawClassLoaders(CommandProcess  List  Boolean)}  {com.taobao.arthas.core.command.view.ClassLoaderView drawClassLoaders(CommandProcess  Collection  boolean)}),
