Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
fcdea0066895b53a09d559df08f2ccb792987cdd,EXTRACT_MOVE, EXTRACT_MOVE	{Method doGlobalCommit(GlobalSession  boolean) at server/src/main/java/com/alibaba/fescar/server/coordinator/DefaultCore.java:153}	{Method endCommitted(GlobalSession) at server/src/main/java/com/alibaba/fescar/server/session/SessionHelper.java:28}) EXTRACT_MOVE({com.alibaba.fescar.server.coordinator.DefaultCore doGlobalCommit(GlobalSession  boolean)}  {com.alibaba.fescar.server.session.SessionHelper endCommitted(GlobalSession)}),
da2428c6b41863c99a0e2a9406cfd23cfe0b8860,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method setStateMachine(AbstractRaftStateMachine) at server/src/main/java/io/seata/server/raft/RaftServerFactory.java:142}	{Method setStateMachine(RaftStateMachine) at server/src/main/java/io/seata/server/raft/RaftServerFactory.java:142}) CHANGE_SIGNATURE({io.seata.server.raft.RaftServerFactory setStateMachine(AbstractRaftStateMachine)}  {io.seata.server.raft.RaftServerFactory setStateMachine(RaftStateMachine)}),
da2428c6b41863c99a0e2a9406cfd23cfe0b8860,MOVE, MOVE	{Method isLeader() at server/src/main/java/io/seata/server/raft/AbstractRaftStateMachine.java:33}	{Method isLeader() at server/src/main/java/io/seata/server/raft/RaftStateMachine.java:98}) MOVE({io.seata.server.raft.AbstractRaftStateMachine isLeader()}  {io.seata.server.raft.RaftStateMachine isLeader()}),
3e337f4022d41d569971661b13cca08669b8f071,INLINE, INLINE	{Method localRemoveBranch(BranchSession) at server/src/main/java/io/seata/server/session/GlobalSession.java:376}	{Method removeBranch(BranchSession) at server/src/main/java/io/seata/server/session/GlobalSession.java:289}) INLINE({io.seata.server.session.GlobalSession localRemoveBranch(BranchSession)}  {io.seata.server.session.GlobalSession removeBranch(BranchSession)}),
3e337f4022d41d569971661b13cca08669b8f071,INLINE, INLINE	{Method localAddBranch(BranchSession) at server/src/main/java/io/seata/server/session/GlobalSession.java:339}	{Method addBranch(BranchSession) at server/src/main/java/io/seata/server/session/GlobalSession.java:278}) INLINE({io.seata.server.session.GlobalSession localAddBranch(BranchSession)}  {io.seata.server.session.GlobalSession addBranch(BranchSession)}),
3e337f4022d41d569971661b13cca08669b8f071,RENAME, RENAME	{Class ReleaseLockExecute at server/src/main/java/io/seata/server/raft/execute/lock/ReleaseLockExecute.java:23}	{Class GlobalReleaseLockExecute at server/src/main/java/io/seata/server/raft/execute/lock/GlobalReleaseLockExecute.java:23}) RENAME({io.seata.server.raft.execute.lock.ReleaseLockExecute}  {io.seata.server.raft.execute.lock.GlobalReleaseLockExecute}),
3e337f4022d41d569971661b13cca08669b8f071,INLINE, INLINE	{Method localChangeBranchStatus(BranchSession  BranchStatus) at server/src/main/java/io/seata/server/session/GlobalSession.java:244}	{Method changeBranchStatus(BranchSession  BranchStatus) at server/src/main/java/io/seata/server/session/GlobalSession.java:206}) INLINE({io.seata.server.session.GlobalSession localChangeBranchStatus(BranchSession  BranchStatus)}  {io.seata.server.session.GlobalSession changeBranchStatus(BranchSession  BranchStatus)}),
4dd9f69f5f1a242b0bb0f21767cf104596dc6dbf,RENAME, RENAME	{Class SeataCorePropertiesAutoConfiguration at seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/main/java/io/seata/spring/boot/autoconfigure/SeataCorePropertiesAutoConfiguration.java:72}	{Class SeataCoreEnvironmentPostProcessor at seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/main/java/io/seata/spring/boot/autoconfigure/SeataCoreEnvironmentPostProcessor.java:67}) RENAME({io.seata.spring.boot.autoconfigure.SeataCorePropertiesAutoConfiguration}  {io.seata.spring.boot.autoconfigure.SeataCoreEnvironmentPostProcessor}),
4dd9f69f5f1a242b0bb0f21767cf104596dc6dbf,MOVE, MOVE	{Method springApplicationContextProvider() at seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/main/java/io/seata/spring/boot/autoconfigure/SeataCorePropertiesAutoConfiguration.java:107}	{Method springApplicationContextProvider() at seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/main/java/io/seata/spring/boot/autoconfigure/SeataCoreAutoConfiguration.java:36}) MOVE({io.seata.spring.boot.autoconfigure.SeataCorePropertiesAutoConfiguration springApplicationContextProvider()}  {io.seata.spring.boot.autoconfigure.SeataCoreAutoConfiguration springApplicationContextProvider()}),
4dd9f69f5f1a242b0bb0f21767cf104596dc6dbf,RENAME, RENAME	{Class SeataServerPropertiesAutoConfiguration at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/SeataServerPropertiesAutoConfiguration.java:46}	{Class SeataServerEnvironmentPostProcessor at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/SeataServerEnvironmentPostProcessor.java:45}) RENAME({io.seata.spring.boot.autoconfigure.SeataServerPropertiesAutoConfiguration}  {io.seata.spring.boot.autoconfigure.SeataServerEnvironmentPostProcessor}),
