Hash,Refatoração,Descrição
aeeda4202797a83d950db4c1a31656f60738648f,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method buildContext(String) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:182}	{Method buildContext(String  CompressorType) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/AbstractUndoLogManager.java:197}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String)}  {io.seata.rm.datasource.undo.AbstractUndoLogManager buildContext(String  CompressorType)}),
6d309a5e67f37d1a95417d9a3b4739a8666c9a28,PUSH_DOWN, PUSH_DOWN	{Method checkPkValues(List) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/InsertExecutor.java:281}	{Method checkPkValues(List) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/BaseInsertExecutor.java:247}) PUSH_DOWN({io.seata.rm.datasource.exec.InsertExecutor checkPkValues(List)}  {io.seata.rm.datasource.exec.BaseInsertExecutor checkPkValues(List)}),
6d309a5e67f37d1a95417d9a3b4739a8666c9a28,MOVE_RENAME, MOVE_RENAME	{Method defaultGeneratedKeys() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/InsertExecutor.java:374}	{Method getGeneratedKeys() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/BaseInsertExecutor.java:200}) MOVE_RENAME({io.seata.rm.datasource.exec.InsertExecutor defaultGeneratedKeys()}  {io.seata.rm.datasource.exec.BaseInsertExecutor getGeneratedKeys()}),
6d309a5e67f37d1a95417d9a3b4739a8666c9a28,MOVE, MOVE	{Method getPkValuesByDefault() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/InsertExecutor.java:186}	{Method getPkValuesByDefault() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/postgresql/PostgresqlInsertExecutor.java:79}) MOVE({io.seata.rm.datasource.exec.InsertExecutor getPkValuesByDefault()}  {io.seata.rm.datasource.exec.postgresql.PostgresqlInsertExecutor getPkValuesByDefault()}),
6d309a5e67f37d1a95417d9a3b4739a8666c9a28,PUSH_DOWN, PUSH_DOWN	{Method beforeImage() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/InsertExecutor.java:70}	{Method beforeImage() at rm-datasource/src/main/java/io/seata/rm/datasource/exec/BaseInsertExecutor.java:64}) PUSH_DOWN({io.seata.rm.datasource.exec.InsertExecutor beforeImage()}  {io.seata.rm.datasource.exec.BaseInsertExecutor beforeImage()}),
d07516b0eafa3e8d5d10a6cb8468f77a79421dc5,EXTRACT, EXTRACT	{Method afterCompletion(HttpServletRequest  HttpServletResponse  Object  Exception) at integration/http/src/main/java/io/seata/integration/http/TransactionPropagationInterceptor.java:55}	{Method cleanXid(String) at integration/http/src/main/java/io/seata/integration/http/TransactionPropagationInterceptor.java:68}) EXTRACT({io.seata.integration.http.TransactionPropagationInterceptor afterCompletion(HttpServletRequest  HttpServletResponse  Object  Exception)}  {io.seata.integration.http.TransactionPropagationInterceptor cleanXid(String)}),
d07516b0eafa3e8d5d10a6cb8468f77a79421dc5,EXTRACT, EXTRACT	{Method preHandle(HttpServletRequest  HttpServletResponse  Object) at integration/http/src/main/java/io/seata/integration/http/TransactionPropagationInterceptor.java:37}	{Method bindXid(String) at integration/http/src/main/java/io/seata/integration/http/TransactionPropagationInterceptor.java:52}) EXTRACT({io.seata.integration.http.TransactionPropagationInterceptor preHandle(HttpServletRequest  HttpServletResponse  Object)}  {io.seata.integration.http.TransactionPropagationInterceptor bindXid(String)}),
3e15b7b1e7838f5bf428cd0c013f4b34d80e1f4a,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method info(Logger  Throwable  String  Object[]  String  Object[]) at core/src/main/java/io/seata/core/logger/StackTraceLogger.java:32}	{Method info(Logger  Throwable  String  Object[]) at core/src/main/java/io/seata/core/logger/StackTraceLogger.java:33}) CHANGE_SIGNATURE({io.seata.core.logger.StackTraceLogger info(Logger  Throwable  String  Object[]  String  Object[])}  {io.seata.core.logger.StackTraceLogger info(Logger  Throwable  String  Object[])}),
3e15b7b1e7838f5bf428cd0c013f4b34d80e1f4a,EXTRACT, EXTRACT	{Method info(Logger  Throwable  String  Object[]  String  Object[]) at core/src/main/java/io/seata/core/logger/StackTraceLogger.java:32}	{Method getRate() at core/src/main/java/io/seata/core/logger/StackTraceLogger.java:55}) EXTRACT({io.seata.core.logger.StackTraceLogger info(Logger  Throwable  String  Object[]  String  Object[])}  {io.seata.core.logger.StackTraceLogger getRate()}),
f9ac34c96bf7b1d702ad3e6c269919f484c7ac90,EXTRACT, EXTRACT	{Method getResourceId() at rm-datasource/src/main/java/io/seata/rm/datasource/DataSourceProxy.java:141}	{Method getDefaultResourceId() at rm-datasource/src/main/java/io/seata/rm/datasource/DataSourceProxy.java:151}) EXTRACT({io.seata.rm.datasource.DataSourceProxy getResourceId()}  {io.seata.rm.datasource.DataSourceProxy getDefaultResourceId()}),
1ddde40ecd9834dc6c0b70274bc2f2c27eca1309,EXTRACT, EXTRACT	{Method postProcessEnvironment(ConfigurableEnvironment  SpringApplication) at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/SeataServerEnvironmentPostProcessor.java:53}	{Method init() at seata-spring-autoconfigure/seata-spring-autoconfigure-server/src/main/java/io/seata/spring/boot/autoconfigure/SeataServerEnvironmentPostProcessor.java:66}) EXTRACT({io.seata.spring.boot.autoconfigure.SeataServerEnvironmentPostProcessor postProcessEnvironment(ConfigurableEnvironment  SpringApplication)}  {io.seata.spring.boot.autoconfigure.SeataServerEnvironmentPostProcessor init()}),
1ddde40ecd9834dc6c0b70274bc2f2c27eca1309,EXTRACT, EXTRACT	{Method postProcessEnvironment(ConfigurableEnvironment  SpringApplication) at seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/main/java/io/seata/spring/boot/autoconfigure/SeataCoreEnvironmentPostProcessor.java:73}	{Method init() at seata-spring-autoconfigure/seata-spring-autoconfigure-core/src/main/java/io/seata/spring/boot/autoconfigure/SeataCoreEnvironmentPostProcessor.java:87}) EXTRACT({io.seata.spring.boot.autoconfigure.SeataCoreEnvironmentPostProcessor postProcessEnvironment(ConfigurableEnvironment  SpringApplication)}  {io.seata.spring.boot.autoconfigure.SeataCoreEnvironmentPostProcessor init()}),
e84066c949befd1d717430f74d8044c5e8b63914,RENAME, RENAME	{Method queryAll(String  boolean) at server/src/main/java/io/seata/server/console/impl/redis/GlobalSessionRedisServiceImpl.java:35}	{Method query(GlobalSessionParam) at server/src/main/java/io/seata/server/console/impl/redis/GlobalSessionRedisServiceImpl.java:35}) RENAME({io.seata.server.console.impl.redis.GlobalSessionRedisServiceImpl queryAll(String  boolean)}  {io.seata.server.console.impl.redis.GlobalSessionRedisServiceImpl query(GlobalSessionParam)}),
e84066c949befd1d717430f74d8044c5e8b63914,MOVE, MOVE	{Class PageResult at server/src/main/java/io/seata/server/console/result/PageResult.java:22}	{Class PageResult at core/src/main/java/io/seata/core/console/result/PageResult.java:23}) MOVE({io.seata.server.console.result.PageResult}  {io.seata.core.console.result.PageResult}),
e84066c949befd1d717430f74d8044c5e8b63914,RENAME, RENAME	{Method queryByTable(String) at server/src/main/java/io/seata/server/console/impl/db/GlobalLockDBServiceImpl.java:57}	{Method query(GlobalLockParam) at server/src/main/java/io/seata/server/console/impl/db/GlobalLockDBServiceImpl.java:56}) RENAME({io.seata.server.console.impl.db.GlobalLockDBServiceImpl queryByTable(String)}  {io.seata.server.console.impl.db.GlobalLockDBServiceImpl query(GlobalLockParam)}),
e84066c949befd1d717430f74d8044c5e8b63914,RENAME, RENAME	{Method queryAll(String  boolean) at server/src/main/java/io/seata/server/console/impl/file/GlobalSessionFileServiceImpl.java:36}	{Method query(GlobalSessionParam) at server/src/main/java/io/seata/server/console/impl/file/GlobalSessionFileServiceImpl.java:36}) RENAME({io.seata.server.console.impl.file.GlobalSessionFileServiceImpl queryAll(String  boolean)}  {io.seata.server.console.impl.file.GlobalSessionFileServiceImpl query(GlobalSessionParam)}),
e84066c949befd1d717430f74d8044c5e8b63914,MOVE, MOVE	{Class GlobalLockVO at core/src/main/java/io/seata/core/store/db/vo/GlobalLockVO.java:24}	{Class GlobalLockVO at core/src/main/java/io/seata/core/console/vo/GlobalLockVO.java:24}) MOVE({io.seata.core.store.db.vo.GlobalLockVO}  {io.seata.core.console.vo.GlobalLockVO}),
e84066c949befd1d717430f74d8044c5e8b63914,MOVE, MOVE	{Class Result at server/src/main/java/io/seata/server/console/result/Result.java:18}	{Class Result at core/src/main/java/io/seata/core/console/result/Result.java:20}) MOVE({io.seata.server.console.result.Result}  {io.seata.core.console.result.Result}),
e84066c949befd1d717430f74d8044c5e8b63914,RENAME, RENAME	{Method queryByXid(String) at server/src/main/java/io/seata/server/console/impl/redis/GlobalLockRedisServiceImpl.java:39}	{Method query(GlobalLockParam) at server/src/main/java/io/seata/server/console/impl/redis/GlobalLockRedisServiceImpl.java:35}) RENAME({io.seata.server.console.impl.redis.GlobalLockRedisServiceImpl queryByXid(String)}  {io.seata.server.console.impl.redis.GlobalLockRedisServiceImpl query(GlobalLockParam)}),
e84066c949befd1d717430f74d8044c5e8b63914,RENAME, RENAME	{Method queryByTable(String) at server/src/main/java/io/seata/server/console/service/GlobalLockService.java:28}	{Method query(GlobalLockParam) at server/src/main/java/io/seata/server/console/service/GlobalLockService.java:29}) RENAME({io.seata.server.console.service.GlobalLockService queryByTable(String)}  {io.seata.server.console.service.GlobalLockService query(GlobalLockParam)}),
e84066c949befd1d717430f74d8044c5e8b63914,EXTRACT_MOVE, EXTRACT_MOVE	{Method queryByTable(String) at server/src/main/java/io/seata/server/console/impl/db/GlobalLockDBServiceImpl.java:57}	{Method getTableName() at core/src/main/java/io/seata/core/console/param/GlobalLockParam.java:69}) EXTRACT_MOVE({io.seata.server.console.impl.db.GlobalLockDBServiceImpl queryByTable(String)}  {io.seata.core.console.param.GlobalLockParam getTableName()}),
e84066c949befd1d717430f74d8044c5e8b63914,RENAME, RENAME	{Method queryByXid(String) at server/src/main/java/io/seata/server/console/impl/file/GlobalLockFileServiceImpl.java:40}	{Method query(GlobalLockParam) at server/src/main/java/io/seata/server/console/impl/file/GlobalLockFileServiceImpl.java:36}) RENAME({io.seata.server.console.impl.file.GlobalLockFileServiceImpl queryByXid(String)}  {io.seata.server.console.impl.file.GlobalLockFileServiceImpl query(GlobalLockParam)}),
e84066c949befd1d717430f74d8044c5e8b63914,MOVE, MOVE	{Class SingleResult at server/src/main/java/io/seata/server/console/result/SingleResult.java:20}	{Class SingleResult at core/src/main/java/io/seata/core/console/result/SingleResult.java:22}) MOVE({io.seata.server.console.result.SingleResult}  {io.seata.core.console.result.SingleResult}),
e84066c949befd1d717430f74d8044c5e8b63914,MOVE, MOVE	{Class BranchSessionVO at core/src/main/java/io/seata/core/store/db/vo/BranchSessionVO.java:24}	{Class BranchSessionVO at core/src/main/java/io/seata/core/console/vo/BranchSessionVO.java:24}) MOVE({io.seata.core.store.db.vo.BranchSessionVO}  {io.seata.core.console.vo.BranchSessionVO}),
e84066c949befd1d717430f74d8044c5e8b63914,RENAME, RENAME	{Method queryAll(String  boolean) at server/src/main/java/io/seata/server/console/impl/db/GlobalSessionDBServiceImpl.java:36}	{Method query(GlobalSessionParam) at server/src/main/java/io/seata/server/console/impl/db/GlobalSessionDBServiceImpl.java:36}) RENAME({io.seata.server.console.impl.db.GlobalSessionDBServiceImpl queryAll(String  boolean)}  {io.seata.server.console.impl.db.GlobalSessionDBServiceImpl query(GlobalSessionParam)}),
e84066c949befd1d717430f74d8044c5e8b63914,MOVE, MOVE	{Class GlobalSessionVO at core/src/main/java/io/seata/core/store/db/vo/GlobalSessionVO.java:25}	{Class GlobalSessionVO at core/src/main/java/io/seata/core/console/vo/GlobalSessionVO.java:25}) MOVE({io.seata.core.store.db.vo.GlobalSessionVO}  {io.seata.core.console.vo.GlobalSessionVO}),
9c9261d002b20fc5f799c907bfcefc8f27adb0d5,MOVE_RENAME, MOVE_RENAME	{Method getTableRecords(List) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/InsertExecutor.java:176}	{Method buildTableRecords(List) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/BaseTransactionalExecutor.java:303}) MOVE_RENAME({io.seata.rm.datasource.exec.InsertExecutor getTableRecords(List)}  {io.seata.rm.datasource.exec.BaseTransactionalExecutor buildTableRecords(List)}),
5de6f4039dde266f29bb67972e8e2d22cae616cb,PUSH_DOWN, PUSH_DOWN	{Method rollback(Savepoint) at rm-datasource/src/main/java/io/seata/rm/datasource/AbstractConnectionProxy.java:257}	{Method rollback(Savepoint) at rm-datasource/src/main/java/io/seata/rm/datasource/ConnectionProxy.java:212}) PUSH_DOWN({io.seata.rm.datasource.AbstractConnectionProxy rollback(Savepoint)}  {io.seata.rm.datasource.ConnectionProxy rollback(Savepoint)}),
5de6f4039dde266f29bb67972e8e2d22cae616cb,PUSH_DOWN, PUSH_DOWN	{Method setSavepoint() at rm-datasource/src/main/java/io/seata/rm/datasource/AbstractConnectionProxy.java:247}	{Method setSavepoint() at rm-datasource/src/main/java/io/seata/rm/datasource/ConnectionProxy.java:198}) PUSH_DOWN({io.seata.rm.datasource.AbstractConnectionProxy setSavepoint()}  {io.seata.rm.datasource.ConnectionProxy setSavepoint()}),
5de6f4039dde266f29bb67972e8e2d22cae616cb,PUSH_DOWN, PUSH_DOWN	{Method releaseSavepoint(Savepoint) at rm-datasource/src/main/java/io/seata/rm/datasource/AbstractConnectionProxy.java:263}	{Method releaseSavepoint(Savepoint) at rm-datasource/src/main/java/io/seata/rm/datasource/ConnectionProxy.java:218}) PUSH_DOWN({io.seata.rm.datasource.AbstractConnectionProxy releaseSavepoint(Savepoint)}  {io.seata.rm.datasource.ConnectionProxy releaseSavepoint(Savepoint)}),
5de6f4039dde266f29bb67972e8e2d22cae616cb,PUSH_DOWN, PUSH_DOWN	{Method setSavepoint(String) at rm-datasource/src/main/java/io/seata/rm/datasource/AbstractConnectionProxy.java:252}	{Method setSavepoint(String) at rm-datasource/src/main/java/io/seata/rm/datasource/ConnectionProxy.java:205}) PUSH_DOWN({io.seata.rm.datasource.AbstractConnectionProxy setSavepoint(String)}  {io.seata.rm.datasource.ConnectionProxy setSavepoint(String)}),
ab7af771da397d2da6d21b287cb813a84478ff62,EXTRACT_MOVE, EXTRACT_MOVE	{Method decideExecutionStatus(ProcessContext  StateInstance  ServiceTaskStateImpl  Exception) at saga/seata-saga-engine/src/main/java/io/seata/saga/engine/pcext/interceptors/ServiceTaskHandlerInterceptor.java:286}	{Method isNotEmpty(Map) at common/src/main/java/io/seata/common/util/CollectionUtils.java:86}) EXTRACT_MOVE({io.seata.saga.engine.pcext.interceptors.ServiceTaskHandlerInterceptor decideExecutionStatus(ProcessContext  StateInstance  ServiceTaskStateImpl  Exception)}  {io.seata.common.util.CollectionUtils isNotEmpty(Map)}),
ab7af771da397d2da6d21b287cb813a84478ff62,INLINE, INLINE	{Method loadProtoClassToCache(String  Class) at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/ProtobufHelper.java:66}	{Method getPbClass(String) at serializer/seata-serializer-protobuf/src/main/java/io/seata/serializer/protobuf/ProtobufHelper.java:46}) INLINE({io.seata.serializer.protobuf.ProtobufHelper loadProtoClassToCache(String  Class)}  {io.seata.serializer.protobuf.ProtobufHelper getPbClass(String)}),
ab7af771da397d2da6d21b287cb813a84478ff62,EXTRACT_MOVE, EXTRACT_MOVE	{Method replayContextVariables(StateMachineInstance) at saga/seata-saga-engine/src/main/java/io/seata/saga/engine/impl/ProcessCtrlStateMachineEngine.java:328}	{Method isNotEmpty(Map) at common/src/main/java/io/seata/common/util/CollectionUtils.java:86}) EXTRACT_MOVE({io.seata.saga.engine.impl.ProcessCtrlStateMachineEngine replayContextVariables(StateMachineInstance)}  {io.seata.common.util.CollectionUtils isNotEmpty(Map)}),
ab7af771da397d2da6d21b287cb813a84478ff62,EXTRACT_MOVE, EXTRACT_MOVE	{Method postProcess(ProcessContext  Exception) at saga/seata-saga-engine/src/main/java/io/seata/saga/engine/pcext/interceptors/ScriptTaskHandlerInterceptor.java:88}	{Method isNotEmpty(Map) at common/src/main/java/io/seata/common/util/CollectionUtils.java:86}) EXTRACT_MOVE({io.seata.saga.engine.pcext.interceptors.ScriptTaskHandlerInterceptor postProcess(ProcessContext  Exception)}  {io.seata.common.util.CollectionUtils isNotEmpty(Map)}),
ab7af771da397d2da6d21b287cb813a84478ff62,EXTRACT_MOVE, EXTRACT_MOVE	{Method postProcess(ProcessContext  Exception) at saga/seata-saga-engine/src/main/java/io/seata/saga/engine/pcext/interceptors/ServiceTaskHandlerInterceptor.java:203}	{Method isNotEmpty(Map) at common/src/main/java/io/seata/common/util/CollectionUtils.java:86}) EXTRACT_MOVE({io.seata.saga.engine.pcext.interceptors.ServiceTaskHandlerInterceptor postProcess(ProcessContext  Exception)}  {io.seata.common.util.CollectionUtils isNotEmpty(Map)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getCacheKey(DataSourceProxy  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/OracleTableMetaCache.java:62}	{Method getCacheKey(Connection  String  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/OracleTableMetaCache.java:59}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.OracleTableMetaCache getCacheKey(DataSourceProxy  String)}  {io.seata.rm.datasource.sql.struct.cache.OracleTableMetaCache getCacheKey(Connection  String  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getTableMeta(DataSourceProxy  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/TableMetaCache.java:28}	{Method getTableMeta(Connection  String  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/TableMetaCache.java:28}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.TableMetaCache getTableMeta(DataSourceProxy  String)}  {io.seata.rm.datasource.sql.struct.TableMetaCache getTableMeta(Connection  String  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method refresh(DataSourceProxy) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/TableMetaCache.java:37}	{Method refresh(Connection  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/TableMetaCache.java:38}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.TableMetaCache refresh(DataSourceProxy)}  {io.seata.rm.datasource.sql.struct.TableMetaCache refresh(Connection  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method fetchSchema(DataSource  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:112}	{Method fetchSchema(Connection  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:112}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache fetchSchema(DataSource  String)}  {io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache fetchSchema(Connection  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getTableMeta(DataSourceProxy  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:52}	{Method getTableMeta(Connection  String  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:51}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache getTableMeta(DataSourceProxy  String)}  {io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache getTableMeta(Connection  String  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getCacheKey(DataSourceProxy  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:103}	{Method getCacheKey(Connection  String  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:102}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache getCacheKey(DataSourceProxy  String)}  {io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache getCacheKey(Connection  String  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method refresh(DataSourceProxy) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:83}	{Method refresh(Connection  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/AbstractTableMetaCache.java:82}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache refresh(DataSourceProxy)}  {io.seata.rm.datasource.sql.struct.cache.AbstractTableMetaCache refresh(Connection  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method getCacheKey(DataSourceProxy  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/MysqlTableMetaCache.java:73}	{Method getCacheKey(Connection  String  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/MysqlTableMetaCache.java:69}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.MysqlTableMetaCache getCacheKey(DataSourceProxy  String)}  {io.seata.rm.datasource.sql.struct.cache.MysqlTableMetaCache getCacheKey(Connection  String  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method fetchSchema(DataSource  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/OracleTableMetaCache.java:82}	{Method fetchSchema(Connection  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/OracleTableMetaCache.java:79}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.OracleTableMetaCache fetchSchema(DataSource  String)}  {io.seata.rm.datasource.sql.struct.cache.OracleTableMetaCache fetchSchema(Connection  String)}),
9063d4f87090c1599ce3884bee9b7a91ac0ec9ec,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method fetchSchema(DataSource  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/MysqlTableMetaCache.java:104}	{Method fetchSchema(Connection  String) at rm-datasource/src/main/java/io/seata/rm/datasource/sql/struct/cache/MysqlTableMetaCache.java:100}) CHANGE_SIGNATURE({io.seata.rm.datasource.sql.struct.cache.MysqlTableMetaCache fetchSchema(DataSource  String)}  {io.seata.rm.datasource.sql.struct.cache.MysqlTableMetaCache fetchSchema(Connection  String)}),
86b03bd237843a26174e470e8e873c842bdc24f9,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method execute(SQLRecognizer  StatementProxy  StatementCallback  Object[]) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/ExecuteTemplate.java:50}	{Method execute(List  StatementProxy  StatementCallback  Object[]) at rm-datasource/src/main/java/io/seata/rm/datasource/exec/ExecuteTemplate.java:52}) CHANGE_SIGNATURE({io.seata.rm.datasource.exec.ExecuteTemplate execute(SQLRecognizer  StatementProxy  StatementCallback  Object[])}  {io.seata.rm.datasource.exec.ExecuteTemplate execute(List  StatementProxy  StatementCallback  Object[])}),
668623f77dd29fc9fcf75c8952f837e3c23a683f,MOVE, MOVE	{Class HttpAutoConfiguration at integration/http/src/main/java/io/seata/integration/http/HttpAutoConfiguration.java:39}	{Class HttpAutoConfiguration at seata-spring-boot-starter/src/main/java/io/seata/spring/boot/autoconfigure/HttpAutoConfiguration.java:28}) MOVE({io.seata.integration.http.HttpAutoConfiguration}  {io.seata.spring.boot.autoconfigure.HttpAutoConfiguration}),
c68fda16b713a50a21aabd35ec8ff2949dc4cf9b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method insertUndoLogWithGlobalFinished(String  long  Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/UndoLogManager.java:332}	{Method insertUndoLogWithGlobalFinished(String  long  UndoLogParser  Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/UndoLogManager.java:343}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.UndoLogManager insertUndoLogWithGlobalFinished(String  long  Connection)}  {io.seata.rm.datasource.undo.UndoLogManager insertUndoLogWithGlobalFinished(String  long  UndoLogParser  Connection)}),
c68fda16b713a50a21aabd35ec8ff2949dc4cf9b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method insertUndoLogWithNormal(String  long  byte[]  Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/UndoLogManager.java:327}	{Method insertUndoLogWithNormal(String  long  String  byte[]  Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/UndoLogManager.java:338}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.UndoLogManager insertUndoLogWithNormal(String  long  byte[]  Connection)}  {io.seata.rm.datasource.undo.UndoLogManager insertUndoLogWithNormal(String  long  String  byte[]  Connection)}),
c68fda16b713a50a21aabd35ec8ff2949dc4cf9b,CHANGE_SIGNATURE, CHANGE_SIGNATURE	{Method insertUndoLog(String  long  byte[]  State  Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/UndoLogManager.java:337}	{Method insertUndoLog(String  long  String  byte[]  State  Connection) at rm-datasource/src/main/java/io/seata/rm/datasource/undo/UndoLogManager.java:349}) CHANGE_SIGNATURE({io.seata.rm.datasource.undo.UndoLogManager insertUndoLog(String  long  byte[]  State  Connection)}  {io.seata.rm.datasource.undo.UndoLogManager insertUndoLog(String  long  String  byte[]  State  Connection)}),
c68fda16b713a50a21aabd35ec8ff2949dc4cf9b,MOVE_RENAME, MOVE_RENAME	{Class JSONBasedUndoLogParserTest at rm-datasource/src/test/java/io/seata/rm/datasource/undo/JSONBasedUndoLogParserTest.java:18}	{Class FastjsonUndoLogParserTest at rm-datasource/src/test/java/io/seata/rm/datasource/undo/parser/FastjsonUndoLogParserTest.java:21}) MOVE_RENAME({io.seata.rm.datasource.undo.JSONBasedUndoLogParserTest}  {io.seata.rm.datasource.undo.parser.FastjsonUndoLogParserTest}),
c68fda16b713a50a21aabd35ec8ff2949dc4cf9b,MOVE_RENAME, MOVE_RENAME	{Class JSONBasedUndoLogParser at rm-datasource/src/main/java/io/seata/rm/datasource/undo/JSONBasedUndoLogParser.java:23}	{Class FastjsonUndoLogParser at rm-datasource/src/main/java/io/seata/rm/datasource/undo/parser/FastjsonUndoLogParser.java:25}) MOVE_RENAME({io.seata.rm.datasource.undo.JSONBasedUndoLogParser}  {io.seata.rm.datasource.undo.parser.FastjsonUndoLogParser}),
2d6f239586a5d63f12ce75fe251248708fc3d5c5,MOVE, MOVE	{Class TransactionPropagationFilter at dubbo-alibaba/src/main/java/io/seata/dubbo/alibaba/TransactionPropagationFilter.java:31}	{Class TransactionPropagationFilter at integration/dubbo-alibaba/src/main/java/io/seata/integration/dubbo/alibaba/TransactionPropagationFilter.java:31}) MOVE({io.seata.dubbo.alibaba.TransactionPropagationFilter}  {io.seata.integration.dubbo.alibaba.TransactionPropagationFilter}),
