Hash,Refatoração,Descrição
b42deb823b5b50091f733537e2e8718e4a4e4ee7,EXTRACT, EXTRACT	{Method sha256(String) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:113}	{Method getShaHexString(String  MessageDigest) at sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java:150}) EXTRACT({cn.dev33.satoken.secure.SaSecureUtil sha256(String)}  {cn.dev33.satoken.secure.SaSecureUtil getShaHexString(String  MessageDigest)}),
82f7d7f78c22bc932e87fc59d4efe098913d4282,RENAME, RENAME	{Class SaTokenSpringAutowired at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaTokenSpringAutowired.java:21}	{Class SaBeanInject at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaBeanInject.java:18}) RENAME({cn.dev33.satoken.reactor.spring.SaTokenSpringAutowired}  {cn.dev33.satoken.reactor.spring.SaBeanInject}),
82f7d7f78c22bc932e87fc59d4efe098913d4282,RENAME, RENAME	{Class SaTokenSpringAutowired at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaTokenSpringAutowired.java:20}	{Class SaBeanInject at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaBeanInject.java:18}) RENAME({cn.dev33.satoken.spring.SaTokenSpringAutowired}  {cn.dev33.satoken.spring.SaBeanInject}),
82f7d7f78c22bc932e87fc59d4efe098913d4282,MOVE, MOVE	{Method getSaTokenConfig() at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaTokenSpringAutowired.java:31}	{Method getSaTokenConfig() at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaBeanRegister.java:18}) MOVE({cn.dev33.satoken.reactor.spring.SaTokenSpringAutowired getSaTokenConfig()}  {cn.dev33.satoken.reactor.spring.SaBeanRegister getSaTokenConfig()}),
82f7d7f78c22bc932e87fc59d4efe098913d4282,MOVE, MOVE	{Method getSaTokenConfig() at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaTokenSpringAutowired.java:30}	{Method getSaTokenConfig() at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaBeanRegister.java:17}) MOVE({cn.dev33.satoken.spring.SaTokenSpringAutowired getSaTokenConfig()}  {cn.dev33.satoken.spring.SaBeanRegister getSaTokenConfig()}),
82f7d7f78c22bc932e87fc59d4efe098913d4282,MOVE, MOVE	{Method getSaTokenContext() at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaTokenSpringAutowired.java:82}	{Method getSaTokenContext() at sa-token-starter/sa-token-reactor-spring-boot-starter/src/main/java/cn/dev33/satoken/reactor/spring/SaBeanRegister.java:29}) MOVE({cn.dev33.satoken.reactor.spring.SaTokenSpringAutowired getSaTokenContext()}  {cn.dev33.satoken.reactor.spring.SaBeanRegister getSaTokenContext()}),
82f7d7f78c22bc932e87fc59d4efe098913d4282,MOVE, MOVE	{Method getSaTokenContext() at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaTokenSpringAutowired.java:81}	{Method getSaTokenContext() at sa-token-starter/sa-token-spring-boot-starter/src/main/java/cn/dev33/satoken/spring/SaBeanRegister.java:28}) MOVE({cn.dev33.satoken.spring.SaTokenSpringAutowired getSaTokenContext()}  {cn.dev33.satoken.spring.SaBeanRegister getSaTokenContext()}),
5e3795e29eeddb3940b27895d44e8bf929cc8e52,EXTRACT, EXTRACT	{Method toString() at sa-token-core/src/main/java/cn/dev33/satoken/util/SaResult.java:137}	{Method transValue(Object) at sa-token-core/src/main/java/cn/dev33/satoken/util/SaResult.java:168}) EXTRACT({cn.dev33.satoken.util.SaResult toString()}  {cn.dev33.satoken.util.SaResult transValue(Object)}),
5e3795e29eeddb3940b27895d44e8bf929cc8e52,RENAME, RENAME	{Method ssoServerLogout() at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoHandle.java:146}	{Method ssoLogoutByClientHttp() at sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoHandle.java:160}) RENAME({cn.dev33.satoken.sso.SaSsoHandle ssoServerLogout()}  {cn.dev33.satoken.sso.SaSsoHandle ssoLogoutByClientHttp()}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method checkContract(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:98}	{Method checkContract(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:97}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface checkContract(String  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template checkContract(String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method splicingKeyTicketToId(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:297}	{Method splicingKeyTicketToId(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:302}) MOVE({cn.dev33.satoken.sso.SaSsoInterface splicingKeyTicketToId(String)}  {cn.dev33.satoken.sso.SaSsoTemplate splicingKeyTicketToId(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method updateCode(String  CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:287}	{Method updateCode(String  CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:286}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface updateCode(String  CodeModel)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template updateCode(String  CodeModel)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method checkSecretkey(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:201}	{Method checkSecretkey(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:206}) MOVE({cn.dev33.satoken.sso.SaSsoInterface checkSecretkey(String)}  {cn.dev33.satoken.sso.SaSsoTemplate checkSecretkey(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method createCode(String  String  Object) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:430}	{Method createCode(String  String  Object) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:429}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface createCode(String  String  Object)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template createCode(String  String  Object)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getGrantScopeList(Object  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:46}	{Method getGrantScopeList(Object  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:45}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getGrantScopeList(Object  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getGrantScopeList(Object  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getLoginId(String  Class) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:89}	{Method getLoginId(String  Class) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:94}) MOVE({cn.dev33.satoken.sso.SaSsoInterface getLoginId(String  Class)}  {cn.dev33.satoken.sso.SaSsoTemplate getLoginId(String  Class)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method createAccessToken(CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:441}	{Method createAccessToken(CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:440}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface createAccessToken(CodeModel)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template createAccessToken(CodeModel)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getRefreshToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:378}	{Method getRefreshToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:377}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getRefreshToken(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getRefreshToken(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method deleteTicket(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:40}	{Method deleteTicket(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:45}) MOVE({cn.dev33.satoken.sso.SaSsoInterface deleteTicket(String)}  {cn.dev33.satoken.sso.SaSsoTemplate deleteTicket(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method refreshAccessToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:358}	{Method refreshAccessToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:357}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface refreshAccessToken(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template refreshAccessToken(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getAccessToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:349}	{Method getAccessToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:348}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getAccessToken(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getAccessToken(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method generateAccessToken(CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:323}	{Method generateAccessToken(CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:322}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface generateAccessToken(CodeModel)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template generateAccessToken(CodeModel)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getKeyCodeModel(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:516}	{Method getKeyCodeModel(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:515}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getKeyCodeModel(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getKeyCodeModel(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method registerSloCallbackUrl(Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:229}	{Method registerSloCallbackUrl(Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:234}) MOVE({cn.dev33.satoken.sso.SaSsoInterface registerSloCallbackUrl(Object  String)}  {cn.dev33.satoken.sso.SaSsoTemplate registerSloCallbackUrl(Object  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method createRefreshToken(CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:450}	{Method createRefreshToken(CodeModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:449}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface createRefreshToken(CodeModel)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template createRefreshToken(CodeModel)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method buildRedirectUrl(Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:52}	{Method buildRedirectUrl(Object  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:57}) MOVE({cn.dev33.satoken.sso.SaSsoInterface buildRedirectUrl(Object  String)}  {cn.dev33.satoken.sso.SaSsoTemplate buildRedirectUrl(Object  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method buildCheckTicketUrl(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:211}	{Method buildCheckTicketUrl(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:216}) MOVE({cn.dev33.satoken.sso.SaSsoInterface buildCheckTicketUrl(String  String)}  {cn.dev33.satoken.sso.SaSsoTemplate buildCheckTicketUrl(String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getAccessTokenExpiresIn(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:387}	{Method getAccessTokenExpiresIn(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:386}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getAccessTokenExpiresIn(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getAccessTokenExpiresIn(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method encodeBackParam(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:163}	{Method encodeBackParam(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:168}) MOVE({cn.dev33.satoken.sso.SaSsoInterface encodeBackParam(String)}  {cn.dev33.satoken.sso.SaSsoTemplate encodeBackParam(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getLoginId(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:77}	{Method getLoginId(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:82}) MOVE({cn.dev33.satoken.sso.SaSsoInterface getLoginId(String)}  {cn.dev33.satoken.sso.SaSsoTemplate getLoginId(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getClientDomain(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:57}	{Method getClientDomain(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:56}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getClientDomain(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getClientDomain(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,RENAME, RENAME	{Class SaOAuth2InterfaceImpl at sa-token-demo/sa-token-demo-oauth2-server/src/main/java/com/pj/oauth2/SaOAuth2InterfaceImpl.java:10}	{Class SaOAuth2TemplateImpl at sa-token-demo/sa-token-demo-oauth2-server/src/main/java/com/pj/oauth2/SaOAuth2TemplateImpl.java:10}) RENAME({com.pj.oauth2.SaOAuth2InterfaceImpl}  {com.pj.oauth2.SaOAuth2TemplateImpl}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method checkRedirectUrl(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:113}	{Method checkRedirectUrl(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:118}) MOVE({cn.dev33.satoken.sso.SaSsoInterface checkRedirectUrl(String)}  {cn.dev33.satoken.sso.SaSsoTemplate checkRedirectUrl(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method buildSloUrl(Object) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:262}	{Method buildSloUrl(Object) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:267}) MOVE({cn.dev33.satoken.sso.SaSsoInterface buildSloUrl(Object)}  {cn.dev33.satoken.sso.SaSsoTemplate buildSloUrl(Object)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getKeyAccessToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:544}	{Method getKeyAccessToken(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:543}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getKeyAccessToken(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getKeyAccessToken(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method checkTokenIdSecret(String  String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:190}	{Method checkTokenIdSecret(String  String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:189}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface checkTokenIdSecret(String  String  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template checkTokenIdSecret(String  String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method createTicket(Object) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:22}	{Method createTicket(Object) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:27}) MOVE({cn.dev33.satoken.sso.SaSsoInterface createTicket(Object)}  {cn.dev33.satoken.sso.SaSsoTemplate createTicket(Object)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method buildServerAuthUrl(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:141}	{Method buildServerAuthUrl(String  String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:146}) MOVE({cn.dev33.satoken.sso.SaSsoInterface buildServerAuthUrl(String  String)}  {cn.dev33.satoken.sso.SaSsoTemplate buildServerAuthUrl(String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method deleteCode(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:312}	{Method deleteCode(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:311}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface deleteCode(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template deleteCode(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method convertStringToList(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:421}	{Method convertStringToList(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:420}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface convertStringToList(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template convertStringToList(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method splicingParame(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:459}	{Method splicingParame(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:458}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface splicingParame(String  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template splicingParame(String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method checkTicket(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:100}	{Method checkTicket(String) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:105}) MOVE({cn.dev33.satoken.sso.SaSsoInterface checkTicket(String)}  {cn.dev33.satoken.sso.SaSsoTemplate checkTicket(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getClientSecret(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:66}	{Method getClientSecret(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:65}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getClientSecret(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getClientSecret(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method checkCodeIdSecret(String  String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:159}	{Method checkCodeIdSecret(String  String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:158}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface checkCodeIdSecret(String  String  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template checkCodeIdSecret(String  String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getOpenid(String  Object) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:75}	{Method getOpenid(String  Object) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:74}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getOpenid(String  Object)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getOpenid(String  Object)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method checkRightUrl(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:124}	{Method checkRightUrl(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:123}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface checkRightUrl(String  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template checkRightUrl(String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method singleLogout(String  Object  CallSloUrlFunction) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:275}	{Method singleLogout(String  Object  CallSloUrlFunction) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:280}) MOVE({cn.dev33.satoken.sso.SaSsoInterface singleLogout(String  Object  CallSloUrlFunction)}  {cn.dev33.satoken.sso.SaSsoTemplate singleLogout(String  Object  CallSloUrlFunction)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getKeyClientLoginId(Object  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:525}	{Method getKeyClientLoginId(Object  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:524}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getKeyClientLoginId(Object  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getKeyClientLoginId(Object  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method randomTicket(Object) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoInterface.java:189}	{Method randomTicket(Object) at sa-token-core/src/main/java/cn/dev33/satoken/sso/SaSsoTemplate.java:194}) MOVE({cn.dev33.satoken.sso.SaSsoInterface randomTicket(Object)}  {cn.dev33.satoken.sso.SaSsoTemplate randomTicket(Object)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getAppScopeList() at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:28}	{Method getAppScopeList() at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:27}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getAppScopeList()}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getAppScopeList()}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getClientScopeList(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:36}	{Method getClientScopeList(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:35}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getClientScopeList(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getClientScopeList(String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method getLoginId(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:85}	{Method getLoginId(String  String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:84}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface getLoginId(String  String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template getLoginId(String  String)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method generateCode(RequestAuthModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:222}	{Method generateCode(RequestAuthModel) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:221}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface generateCode(RequestAuthModel)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template generateCode(RequestAuthModel)}),
936dfe333d5c788b6853e13140a555976ddcf00c,MOVE, MOVE	{Method confirmCode(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Interface.java:296}	{Method confirmCode(String) at sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/logic/SaOAuth2Template.java:295}) MOVE({cn.dev33.satoken.oauth2.logic.SaOAuth2Interface confirmCode(String)}  {cn.dev33.satoken.oauth2.logic.SaOAuth2Template confirmCode(String)}),
